Ex	Ey
15.003750937734434	8871.39163883584
45.96387192036104	6970.182945968542
76.92399290298766	5997.841018875176
107.88411388561427	5470.952735232579
138.84423486824087	5169.355479296678
169.8043558508675	4988.736901648651
200.7644768334941	4853.96688877452
231.7245978161207	4750.159727442979
262.6847187987473	4686.440560418117
293.64483978137395	4637.3758285174645
324.60496076400057	4601.4460676369
355.5650817466272	4571.048915740185
386.52520272925375	4548.519136504205
417.48532371188037	4531.6297669537325
448.445444694507	4517.677074596161
479.4055656771336	4507.111481030805
510.36568665976023	4498.745452548064
541.3258076423868	4491.128251837427
572.2859286250135	4484.05093750598
603.2460496076401	4478.157526593115
634.2061705902668	4473.508636441946
665.1662915728933	4469.838256103506
696.12641255552	4467.787289425071
727.0865335381466	4464.872447647657
758.0466545207731	4463.4455914673945
789.0067755033998	4461.059067637467
819.9668964860264	4460.734974995632
850.927017468653	4458.830010866137
881.8871384512796	4457.135335417501
912.8472594339063	4456.096421555711
943.8073804165329	4455.080651704723
974.7675013991595	4455.210339962665
1005.7276223817861	4454.460884850424
1036.6877433644127	4454.113597977797
1067.647864347039	4453.2275435143365
1098.6079853296658	4452.663666540561
1129.5681063122925	4452.5112936204105
1160.5282272949191	4451.962661947926
1191.4883482775456	4451.34478833646
1222.4484692601723	4451.4344133131235
1253.408590242799	4451.654718845787
1284.3687112254254	4451.108867734678
1315.328832208052	4451.142142463938
1346.2889531906787	4450.895501102073
1377.2490741733054	4450.695038957776
1408.2091951559319	4450.726254724788
1439.1693161385585	4450.78232436274
1470.1294371211852	4450.445888523878
1501.0895581038117	4450.352787080208
1532.0496790864383	4450.050282761066
1563.009800069065	4450.206068599403
1593.9699210516917	4449.859312690583
1624.9300420343181	4449.878873012611
1655.8901630169448	4450.098965285252
1686.8502839995715	4450.041016688664
1717.8104049821982	4449.990900590116
1748.7705259648246	4450.039481103735
1779.7306469474513	4450.026899243044
1810.690767930078	4449.539756692214
1841.6508889127044	4450.034194377037
1872.611009895331	4449.759240216971
1903.5711308779578	4449.805598278689
1934.5312518605845	4449.58485111782
